order_id,F1_XGB,F1_BERT,F1_diff(BERT-XGB),True_size,XGB_pred_size,BERT_pred_size
1331322,1.0,1.0,0.0,3,3,3
252821,1.0,1.0,0.0,6,6,6
730021,0.5714285714285715,0.5714285714285715,0.0,2,5,5
1963604,1.0,1.0,0.0,2,2,2
2218650,0.6666666666666666,0.6666666666666666,0.0,1,2,2
2546536,0.7499999999999999,0.7499999999999999,0.0,3,5,5
2596519,0.8235294117647058,0.8235294117647058,0.0,7,10,10
2429438,0.47058823529411764,0.45714285714285713,-0.013445378151260512,8,26,27
1613280,0.5,0.5,0.0,4,12,12
2048255,1.0,1.0,0.0,3,3,3
2791064,0.9411764705882353,0.9411764705882353,0.0,8,9,9
269626,0.6666666666666666,0.6666666666666666,0.0,1,2,2
3186446,0.8750000000000001,0.8750000000000001,0.0,7,9,9
2995542,0.8,0.8,0.0,6,9,9
1512911,1.0,1.0,0.0,1,1,1
2148855,0.6666666666666666,0.6666666666666666,0.0,1,2,2
3157159,0.2857142857142857,0.2857142857142857,0.0,1,6,6
1723882,0.888888888888889,0.888888888888889,0.0,8,10,10
2655915,0.9795918367346939,0.9795918367346939,0.0,24,25,25
365740,0.9,0.9,0.0,9,11,11
741820,1.0,1.0,0.0,1,1,1
1928697,0.8000000000000002,0.8695652173913044,0.06956521739130428,10,10,13
1327309,0.5714285714285715,0.5714285714285715,0.0,2,5,5
336912,0.9090909090909091,0.9090909090909091,0.0,5,6,6
3033695,0.7499999999999999,0.7499999999999999,0.0,3,5,5
366498,0.8333333333333333,0.8333333333333333,0.0,5,7,7
837678,0.9090909090909091,0.9565217391304348,0.04743083003952575,11,11,12
2344030,0.5454545454545454,0.5454545454545454,0.0,3,8,8
394545,0.888888888888889,0.8,-0.0888888888888889,4,5,6
267616,1.0,1.0,0.0,6,6,6
2296935,0.6666666666666667,0.7499999999999999,0.08333333333333315,6,9,10
2459908,1.0,1.0,0.0,5,5,5
1960241,0.9523809523809523,0.9523809523809523,0.0,10,11,11
1803521,0.888888888888889,0.888888888888889,0.0,4,5,5
1905556,0.5714285714285715,0.5,-0.07142857142857151,2,5,6
2183274,1.0,1.0,0.0,1,1,1
415971,1.0,0.888888888888889,-0.11111111111111105,8,8,10
406754,0.8799999999999999,0.7741935483870968,-0.10580645161290314,12,13,19
1876237,0.6363636363636364,0.6363636363636364,0.0,7,15,15
481826,0.42857142857142855,0.42857142857142855,0.0,3,11,11
2402011,1.0,1.0,0.0,15,15,15
2581807,0.9230769230769231,0.962962962962963,0.03988603988603989,13,13,14
941581,0.7096774193548387,0.7096774193548387,0.0,11,20,20
1294060,0.5,0.6399999999999999,0.1399999999999999,8,12,17
1525239,0.625,0.5714285714285715,-0.05357142857142849,6,10,15
2658029,0.8,0.8,0.0,6,9,9
1099026,0.9,0.9,0.0,27,33,33
1146147,0.33333333333333337,0.33333333333333337,0.0,1,5,5
401080,0.9090909090909091,0.9090909090909091,0.0,5,6,6
2481370,0.7692307692307693,0.7692307692307693,0.0,5,8,8
1540373,0.888888888888889,0.888888888888889,0.0,4,5,5
2783184,0.5,0.6666666666666666,0.16666666666666663,3,5,6
2297056,0.9090909090909091,0.9090909090909091,0.0,5,6,6
534142,0.7272727272727273,0.7272727272727273,0.0,8,14,14
592051,0.9600000000000001,0.9600000000000001,0.0,24,26,26
1436270,0.8571428571428571,0.8571428571428571,0.0,3,4,4
2991427,0.9696969696969697,0.9696969696969697,0.0,16,17,17
583191,1.0,1.0,0.0,5,5,5
1633423,0.14285714285714288,0.2857142857142857,0.14285714285714282,3,11,18
1307667,1.0,1.0,0.0,6,6,6
1042144,0.9473684210526316,0.9473684210526316,0.0,9,10,10
2897952,0.5,0.5,0.0,1,3,3
2074306,0.6666666666666666,0.6666666666666666,0.0,1,2,2
526066,0.7333333333333334,0.6666666666666666,-0.06666666666666676,11,19,22
461574,1.0,1.0,0.0,1,1,1
2014008,1.0,1.0,0.0,1,1,1
2685701,0.6666666666666666,0.6666666666666666,0.0,3,6,6
601177,0.9166666666666666,0.9166666666666666,0.0,11,13,13
1859414,0.6666666666666666,0.6666666666666666,0.0,1,2,2
869850,0.4285714285714285,0.4444444444444445,0.015873015873015983,4,10,14
806822,0.9473684210526316,0.9473684210526316,0.0,9,10,10
1291359,0.5714285714285715,0.5714285714285715,0.0,2,5,5
1189633,1.0,1.0,0.0,1,1,1
310633,1.0,1.0,0.0,6,6,6
2238650,0.2857142857142857,0.2857142857142857,0.0,1,6,6
1501485,0.6666666666666666,0.6666666666666666,0.0,8,16,16
3064365,0.9032258064516129,0.8484848484848484,-0.05474095796676448,14,17,19
3127924,0.5833333333333334,0.5833333333333334,0.0,7,17,17
555093,0.9090909090909091,0.9090909090909091,0.0,5,6,6
2096677,0.0,0.6153846153846153,0.6153846153846153,4,4,9
1491865,0.6666666666666666,0.6153846153846153,-0.05128205128205132,4,8,9
290967,0.8,0.8,0.0,8,12,12
3213251,0.9333333333333333,0.9333333333333333,0.0,7,8,8
962113,0.4,0.25,-0.15000000000000002,1,4,7
734996,0.7826086956521738,0.8,0.01739130434782621,10,13,15
3289308,0.7000000000000001,0.7000000000000001,0.0,7,13,13
1476007,1.0,1.0,0.0,3,3,3
550634,0.5,0.5,0.0,1,3,3
2031318,0.5,0.47058823529411764,-0.02941176470588236,4,12,13
801619,0.7692307692307693,0.7692307692307693,0.0,5,8,8
170066,0.9090909090909091,0.9090909090909091,0.0,20,24,24
723590,0.8,0.8,0.0,2,3,3
3408994,1.0,0.8695652173913044,-0.13043478260869557,10,10,13
488552,0.8750000000000001,0.8750000000000001,0.0,7,9,9
1784583,0.8421052631578948,0.8421052631578948,0.0,8,11,11
209005,1.0,1.0,0.0,3,3,3
2379925,0.9411764705882353,0.9411764705882353,0.0,8,9,9
1014416,0.45454545454545453,0.45454545454545453,0.0,5,17,17
1202655,1.0,1.0,0.0,2,2,2
1564911,1.0,1.0,0.0,1,1,1
1860995,1.0,1.0,0.0,6,6,6
1026348,0.8,0.8,0.0,14,21,21
2365798,0.5,0.5,0.0,1,3,3
263182,0.8333333333333333,0.8333333333333333,0.0,5,7,7
3340412,0.4761904761904762,0.4,-0.0761904761904762,7,14,28
2284515,0.8571428571428571,1.0,0.1428571428571429,4,3,4
2928982,0.8484848484848484,0.8484848484848484,0.0,14,19,19
344724,0.47058823529411764,0.47058823529411764,0.0,4,13,13
595121,0.7826086956521738,0.8,0.01739130434782621,10,13,15
685556,1.0,1.0,0.0,8,8,8
1861641,0.5454545454545454,0.5454545454545454,0.0,3,8,8
2421349,0.7777777777777778,0.7000000000000001,-0.07777777777777772,7,11,13
964123,0.4,0.4,0.0,2,8,8
920355,0.9166666666666666,0.9166666666666666,0.0,11,13,13
1710406,0.9285714285714286,0.9285714285714286,0.0,13,15,15
1105738,0.8571428571428571,0.8571428571428571,0.0,9,12,12
1951882,1.0,1.0,0.0,1,1,1
1043150,0.6153846153846153,0.6153846153846153,0.0,8,18,18
2129289,1.0,1.0,0.0,7,7,7
2167564,0.9166666666666666,0.9166666666666666,0.0,11,13,13
1724421,0.6666666666666666,0.6666666666666666,0.0,9,18,18
992554,0.923076923076923,0.923076923076923,0.0,6,7,7
113460,0.9032258064516129,0.9565217391304348,0.05329593267882193,33,29,36
1281636,0.8235294117647058,0.8235294117647058,0.0,7,10,10
1911144,0.14285714285714288,0.11764705882352941,-0.025210084033613467,1,13,16
2158572,0.6,0.6,0.0,3,7,7
